	logFC	logCPM	F	PValue	FDR
Tatro_002208-T1	-1.84328735162963	5.40075099864936	97.0384436563709	1.75668775562383e-09	5.52001735279739e-06
Tatro_011096-T1	-1.20328045897947	5.52454556561384	95.2782228064919	2.06982179380337e-09	5.52001735279739e-06
Tatro_008592-T1	-1.54031007632897	6.41900167215348	93.4725834448608	2.4555237334508e-09	5.52001735279739e-06
Tatro_011193-T1	-1.7769276895162	5.59275713588909	87.8612261215152	4.25120273152264e-09	7.64536299237032e-06
Tatro_007063-T1	-1.39013488320348	6.72042447802748	70.9803765515046	2.67995471686695e-08	1.6686234407108e-05
Tatro_003659-T1	-1.95545129126075	4.86507952499812	70.7498029296453	2.75451492028403e-08	1.6686234407108e-05
Tatro_003634-T1	-1.52844118688337	7.4119232181074	70.6619621323958	2.78351330189746e-08	1.6686234407108e-05
Tatro_007264-T1	-0.885853634344961	6.08856871775295	66.8653032979152	4.42070587411479e-08	2.23846894804718e-05
Tatro_002289-T1	-2.05359818988217	7.93288322571686	62.715514632035	7.5048475620256e-08	3.49979255500729e-05
Tatro_004301-T1	-1.75372544051187	3.77445162907401	62.4363256467404	7.78423610989166e-08	3.49979255500729e-05
Tatro_007727-T1	-1.40807213916516	8.23894420745953	61.7776265885917	8.48949303194833e-08	3.63512006396569e-05
Tatro_011195-T1	-1.6349782968212	10.0177747100135	59.1595962323315	1.20680798894896e-07	4.17369901408811e-05
Tatro_010357-T1	-1.63837729233528	4.05936289316799	57.4722927010049	1.52329044994509e-07	5.07312137996528e-05
Tatro_006181-T1	-1.69223261561912	4.41795019966286	56.3857311158088	1.77454128726446e-07	5.36569924883818e-05
Tatro_011862-T1	-0.810747775796354	7.39078733880121	56.0282819095	1.86682662565433e-07	5.41500161867217e-05
Tatro_009227-T1	-1.59203369224951	7.39625332760976	53.7393289525068	2.59773142441473e-07	7.29962530260539e-05
Tatro_008968-T1	-0.914015672407969	8.46070711793304	53.4070618542163	2.72767231661263e-07	7.43249377908507e-05
Tatro_001984-T1	-1.64422101324508	5.04314736338201	51.4163647249799	3.671438298965e-07	9.5788646879052e-05
Tatro_002173-T1	-1.30763341767762	11.3998530418352	51.304527490644	3.73415296198689e-07	9.5788646879052e-05
Tatro_002031-T1	-2.65106204100121	7.32969906309028	50.9885777993747	3.91773888160948e-07	9.5788646879052e-05
Tatro_011192-T1	-0.842266681291472	6.58078343622767	50.655599587127	4.12195047637313e-07	9.7538364956703e-05
Tatro_006412-T1	-0.847609780180914	7.56400085234649	50.1290088307828	4.46903915275931e-07	0.000100464000154029
Tatro_003858-T1	-0.842843936627834	7.5448140144598	48.9806740291363	5.34199932151831e-07	0.000114369661664506
Tatro_007963-T1	-1.71165294226292	9.66246506373068	47.5431170754988	6.70729870938659e-07	0.000137072795442737
Tatro_008910-T1	-1.10944788555162	5.58343620093948	46.1472176568332	8.40544134044505e-07	0.000164308105507134
Tatro_004923-T1	-0.792170158473934	6.95092783046326	45.4327700699067	9.45210495999197e-07	0.000180836867660102
Tatro_010893-T1	-3.2116443962299	3.57625495288528	45.0062840963778	1.01442427007446e-06	0.000190035479927283
Tatro_002387-T1	-0.756975990814135	7.88895040673918	44.7123497129002	1.06534293711034e-06	0.000195501299806044
Tatro_005653-T1	-1.55102879588936	6.18187524095945	44.0245625913099	1.19574753666874e-06	0.000214400314912933
Tatro_009871-T1	-0.870122488559694	9.19080985206585	43.9250605874012	1.2160160209697e-06	0.000214400314912933
Tatro_009558-T1	-0.834248327659828	6.92094377321888	43.7249272944385	1.25792934749181e-06	0.000215239589891215
Tatro_001227-T1	-1.31853623398836	5.50329127657098	43.2772765203242	1.35750909014265e-06	0.000226050402565976
Tatro_005654-T1	-0.734080951297462	6.5913034974381	42.7260078916329	1.49214568048969e-06	0.000239595963552916
Tatro_001416-T1	-0.970303936602795	7.5769077924328	42.5353750069428	1.54204537541639e-06	0.000243264421328846
Tatro_005628-T1	-1.6124188501731	3.73117683217233	42.2349168118357	1.62443410072007e-06	0.000251843300580602
Tatro_003252-T1	-0.882444534337968	6.02221583294188	40.9745190121532	2.02644290377242e-06	0.000308843637130875
Tatro_007083-T1	-1.12955877590146	5.0223848865704	40.7973657323257	2.0911790055811e-06	0.000311342798792458
Tatro_003381-T1	-0.99407030615332	6.79090492724675	40.7414202558747	2.11208971600756e-06	0.000311342798792458
Tatro_011732-T1	-0.917454225004644	7.11964073975127	40.5747925794808	2.1757356329894e-06	0.000315551851803882
Tatro_006180-T1	-3.33342338746411	2.85620180274529	40.2738019371963	2.29608171621327e-06	0.000322156663692232
Tatro_006456-T1	-1.01364218888823	5.76699007907319	40.2396926448113	2.31017222962253e-06	0.000322156663692232
Tatro_003610-T1	-1.7740207247998	2.96950439942653	40.195049977886	2.3287570217966e-06	0.000322156663692232
Tatro_006435-T1	-1.46476935915999	4.45346552951174	38.5848545183635	3.12174356242953e-06	0.000400596877725011
Tatro_007992-T1	-2.2819649923493	4.87777078778773	38.0243106591654	3.46360706349945e-06	0.000424556485607312
Tatro_001054-T1	-0.715226546807358	6.56097899306341	37.9775788127582	3.49390346251569e-06	0.000424556485607312
