	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
map00564	map00564	Glycerophospholipid metabolism	9/93	115/13850	7.34155084864428e-08	1.20401433917766e-05	1.01236122228674e-05	K13621/K01126/K13507/K18696/K16369/K00006/K00111/K01114/K01115	9
map00500	map00500	Starch and sucrose metabolism	7/93	106/13850	6.95433796154386e-06	0.000570255712846597	0.000479483301559077	K16055/K05349/K01835/K01194/K01196/K00963/K01179	7
map04814	map04814	Motor proteins	7/93	113/13850	1.06094157505224e-05	0.000579981394361892	0.000487660864322259	K10426/K07374/K10413/K10396/K10401/K10392/K10357	7
map01212	map01212	Fatty acid metabolism	6/93	84/13850	2.07804319102539e-05	0.00085199770832041	0.000716378047432437	K00626/K00667/K00668/K00507/K11262/K10256	6
map01230	map01230	Biosynthesis of amino acids	9/93	238/13850	3.08201682458192e-05	0.00101090151846287	0.000849987797937331	K01754/K13830/K01702/K01850/K00838/K00549/K00789/K00826/K03785	9
map00520	map00520	Amino sugar and nucleotide sugar metabolism	7/93	156/13850	8.4648017228111e-05	0.00201459885986993	0.00169391816844005	K00972/K20844/K01183/K12373/K01835/K00963/K00820	7
map04142	map04142	Lysosome	6/93	108/13850	8.59889757261554e-05	0.00201459885986993	0.00169391816844005	K01192/K12389/K12373/K13289/K01205/K01279	6
map00290	map00290	Valine, leucine and isoleucine biosynthesis	3/93	19/13850	0.000262720610452156	0.0053857725142692	0.00452847368016216	K01754/K01702/K00826	3
map00565	map00565	Ether lipid metabolism	3/93	31/13850	0.0011496970420998	0.0207049117266705	0.0174091363041967	K01062/K01114/K01115	3
map00940	map00940	Phenylpropanoid biosynthesis	3/93	32/13850	0.00126249461747991	0.0207049117266705	0.0174091363041967	K20039/K03186/K03782	3
map00270	map00270	Cysteine and methionine metabolism	5/93	125/13850	0.00152427443931195	0.020926066095795	0.017595087667196	K00838/K00549/K00789/K00826/K01251	5
map00400	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	4/93	74/13850	0.001531175567985	0.020926066095795	0.017595087667196	K13830/K01850/K00838/K03785	4
map00562	map00562	Inositol phosphate metabolism	4/93	76/13850	0.00168998728954007	0.0213198396526593	0.0179261809659716	K00140/K01083/K01114/K00888	4
map00380	map00380	Tryptophan metabolism	4/93	80/13850	0.00204131515383538	0.0239125489449287	0.0201061868535665	K00626/K00838/K14338/K03782	4
map00061	map00061	Fatty acid biosynthesis	3/93	39/13850	0.00224865243499662	0.0245852666226297	0.0206718223848812	K00667/K00668/K11262	3
map00531	map00531	Glycosaminoglycan degradation	2/93	15/13850	0.00442464080350887	0.0453525682359659	0.0381334174512935	K12373/K01205	2
