ID	KEGG_ko
Tatro_000001-T1	-
Tatro_000002-T1	-
Tatro_000003-T1	-
Tatro_000004-T1	-
Tatro_000005-T1	-
Tatro_000006-T1	-
Tatro_000007-T1	-
Tatro_000010-T1	ko:K08832
Tatro_000011-T1	-
Tatro_000012-T1	-
Tatro_000013-T1	-
Tatro_000014-T1	-
Tatro_000015-T1	-
Tatro_000016-T1	ko:K00354
Tatro_000017-T1	-
Tatro_000018-T1	-
Tatro_000019-T1	-
Tatro_000020-T1	-
Tatro_000021-T1	-
Tatro_000022-T1	-
Tatro_000023-T1	-
Tatro_000024-T1	ko:K17842
Tatro_000025-T1	-
Tatro_000026-T1	-
Tatro_000027-T1	-
Tatro_000028-T1	-
Tatro_000029-T1	-
Tatro_000030-T1	ko:K08008
Tatro_000031-T1	-
Tatro_000032-T1	-
Tatro_000035-T1	-
Tatro_000036-T1	-
Tatro_000037-T1	-
Tatro_000038-T1	ko:K03097
Tatro_000039-T1	-
Tatro_000040-T1	ko:K08334
Tatro_000041-T1	-
Tatro_000042-T1	-
Tatro_000043-T1	ko:K10751
Tatro_000044-T1	-
Tatro_000045-T1	ko:K13344
Tatro_000045-T2	ko:K13344
Tatro_000046-T1	ko:K05544
Tatro_000047-T1	-
Tatro_000048-T1	-
Tatro_000049-T1	ko:K19487
Tatro_000050-T1	-
Tatro_000051-T1	ko:K03363
Tatro_000052-T1	ko:K03122
Tatro_000054-T1	-
Tatro_000055-T1	ko:K02140
Tatro_000056-T1	ko:K00008
Tatro_000059-T1	-
Tatro_000060-T1	-
Tatro_000062-T1	ko:K06269
Tatro_000063-T1	-
Tatro_000064-T1	ko:K00135
Tatro_000066-T1	ko:K00135
Tatro_000067-T1	-
Tatro_000069-T1	-
Tatro_000070-T1	-
Tatro_000071-T1	-
Tatro_000074-T1	-
Tatro_000075-T1	ko:K02919
Tatro_000076-T1	ko:K20794
Tatro_000077-T1	ko:K00088
Tatro_000078-T1	ko:K20178
Tatro_000079-T1	ko:K03861
Tatro_000080-T1	ko:K14779
Tatro_000081-T1	ko:K04567
Tatro_000082-T1	ko:K11340,ko:K11400,ko:K11652
Tatro_000083-T1	-
Tatro_000084-T1	ko:K17732
Tatro_000085-T1	ko:K03133
Tatro_000086-T1	ko:K14152
Tatro_000087-T1	ko:K15728
Tatro_000087-T2	ko:K15728
Tatro_000089-T1	-
Tatro_000090-T1	ko:K20299
Tatro_000091-T1	ko:K00344,ko:K00384
Tatro_000092-T1	ko:K00972
Tatro_000094-T1	ko:K20813
Tatro_000095-T1	-
Tatro_000096-T1	-
Tatro_000098-T1	-
Tatro_000099-T1	-
Tatro_000100-T1	ko:K09448
Tatro_000101-T1	ko:K09448,ko:K14787
Tatro_000102-T1	ko:K10418
Tatro_000105-T1	ko:K15183
Tatro_000106-T1	-
Tatro_000107-T1	-
Tatro_000108-T1	-
Tatro_000109-T1	ko:K03007
Tatro_000110-T1	ko:K14552
Tatro_000111-T1	-
Tatro_000112-T1	-
Tatro_000113-T1	-
Tatro_000114-T1	ko:K01872
Tatro_000115-T1	-
Tatro_000116-T1	ko:K01738
Tatro_000117-T1	ko:K03145
Tatro_000118-T1	ko:K10846
Tatro_000119-T1	ko:K20824
Tatro_000120-T1	-
Tatro_000122-T1	ko:K11430
Tatro_000123-T1	ko:K14009,ko:K20405
Tatro_000124-T1	-
Tatro_000125-T1	-
Tatro_000126-T1	-
Tatro_000127-T1	-
Tatro_000128-T1	-
Tatro_000129-T1	ko:K04091
Tatro_000130-T1	ko:K09567
Tatro_000131-T1	-
Tatro_000132-T1	-
Tatro_000133-T1	-
Tatro_000134-T1	ko:K03648
Tatro_000135-T1	ko:K14023,ko:K14026
Tatro_000136-T1	-
Tatro_000138-T1	ko:K14796
Tatro_000139-T1	ko:K10761
Tatro_000139-T2	ko:K10761
Tatro_000140-T1	ko:K14961
Tatro_000141-T1	ko:K03006
Tatro_000142-T1	-
Tatro_000144-T1	-
Tatro_000146-T1	ko:K00326
Tatro_000147-T1	ko:K01301
Tatro_000148-T1	-
Tatro_000149-T1	-
Tatro_000152-T1	-
Tatro_000153-T1	-
Tatro_000154-T1	-
Tatro_000155-T1	-
Tatro_000156-T1	ko:K03283
Tatro_000157-T1	-
Tatro_000159-T1	ko:K15544
Tatro_000160-T1	ko:K19846
Tatro_000160-T2	ko:K19846
Tatro_000161-T1	ko:K06709
Tatro_000162-T1	-
Tatro_000163-T1	-
Tatro_000165-T1	-
Tatro_000166-T1	ko:K18123
Tatro_000167-T1	ko:K00863
Tatro_000168-T1	ko:K14521,ko:K15033
Tatro_000169-T1	-
Tatro_000170-T1	ko:K13348,ko:K13349
Tatro_000171-T1	ko:K11563
Tatro_000172-T1	ko:K02949
Tatro_000173-T1	-
Tatro_000175-T1	ko:K17560
Tatro_000176-T1	-
Tatro_000177-T1	ko:K01930,ko:K17785
Tatro_000178-T1	ko:K01930
Tatro_000179-T1	ko:K17785
Tatro_000180-T1	ko:K07889,ko:K17785
Tatro_000181-T1	-
Tatro_000182-T1	-
Tatro_000183-T1	-
Tatro_000184-T1	ko:K21797
Tatro_000185-T1	ko:K21989
Tatro_000186-T1	ko:K01870
Tatro_000187-T1	-
Tatro_000190-T1	ko:K17714
Tatro_000191-T1	ko:K05293
Tatro_000192-T1	ko:K14843
Tatro_000193-T1	-
Tatro_000194-T1	-
Tatro_000195-T1	ko:K06664
Tatro_000196-T1	-
Tatro_000197-T1	-
Tatro_000198-T1	-
Tatro_000199-T1	-
Tatro_000203-T1	-
Tatro_000205-T1	ko:K01191,ko:K10084
Tatro_000206-T1	ko:K00759
Tatro_000207-T1	ko:K17778,ko:K17781
Tatro_000208-T1	-
Tatro_000209-T1	-
Tatro_000210-T1	-
Tatro_000211-T1	-
Tatro_000212-T1	ko:K01426
Tatro_000213-T1	-
Tatro_000214-T1	ko:K10866
Tatro_000215-T1	ko:K10398
Tatro_000216-T1	-
Tatro_000218-T1	ko:K07748
Tatro_000219-T1	-
Tatro_000220-T1	ko:K00102
Tatro_000221-T1	-
Tatro_000222-T1	-
Tatro_000222-T2	-
Tatro_000223-T1	-
Tatro_000224-T1	-
Tatro_000226-T1	-
Tatro_000229-T1	-
Tatro_000230-T1	ko:K05283
Tatro_000232-T1	ko:K08286
Tatro_000233-T1	ko:K07300
Tatro_000234-T1	-
Tatro_000235-T1	-
